Category,ITEMS,Price,Unit,location
Croffle Items,REGULAR CROISSANT,2100.00,1 Box/70pcs.,FRANCHISEE OUTSIDE CEBU
Croffle Items,WHIPPED CREAM MIX,280.00,1 Piping Bag,FRANCHISEE OUTSIDE CEBU
Croffle Items,MONALISA,2400.00,1 Case/12 liters,FRANCHISEE OUTSIDE CEBU
Croffle Items,GLAZE POWDER,160.00,1 Piping Bag,FRANCHISEE OUTSIDE CEBU
SAUCES,Nutella,90.00,Pack of 20,FRANCHISEE OUTSIDE CEBU
SAUCES,Chocolate,50.00,Pack of 20,FRANCHISEE OUTSIDE CEBU
SAUCES,Caramel,50.00,Pack of 20,FRANCHISEE OUTSIDE CEBU
SAUCES,Tiramisu,70.00,Pack of 20,FRANCHISEE OUTSIDE CEBU
SAUCES,Dark Chocolate,50.00,Pack of 20,FRANCHISEE OUTSIDE CEBU
TOPPINGS,Biscoff,180.00,Pack of 32,FRANCHISEE OUTSIDE CEBU
TOPPINGS,Kitkat,150.00,Pack of 24,FRANCHISEE OUTSIDE CEBU
TOPPINGS,Oreo Cookies,80.00,Pack of 27,FRANCHISEE OUTSIDE CEBU
TOPPINGS,Biscoff Crushed,50.00,Pack of 20,FRANCHISEE OUTSIDE CEBU
TOPPINGS,Oreo Crushed,50.00,Pack of 20,FRANCHISEE OUTSIDE CEBU
TOPPINGS,Peanut,50.00,Pack of 20,FRANCHISEE OUTSIDE CEBU
TOPPINGS,Colored Sprinkles,50.00,Pack of 20,FRANCHISEE OUTSIDE CEBU
TOPPINGS,Choco Flakes,50.00,Pack of 20,FRANCHISEE OUTSIDE CEBU
TOPPINGS,Marshmallow,25.00,Pack of 10,FRANCHISEE OUTSIDE CEBU
TOPPINGS,Graham Crushed,50.00,Pack of 20,FRANCHISEE OUTSIDE CEBU
TOPPINGS,Strawberry Jam,50.00,Pack of 10,FRANCHISEE OUTSIDE CEBU
TOPPINGS,Mango Jam,70.00,Pack of 10,FRANCHISEE OUTSIDE CEBU
TOPPINGS,Blueberry Jam,75.00,Pack of 10,FRANCHISEE OUTSIDE CEBU
TOPPINGS,Matcha crumble,50.00,Pack of 20,FRANCHISEE OUTSIDE CEBU
TOPPINGS,Chocolate crumble,50.00,Pack of 20,FRANCHISEE OUTSIDE CEBU
BOXES,Rectangle,65.00,Packs of 25,FRANCHISEE OUTSIDE CEBU
BOXES,Take -out box w/ cover,140.00,Packs of 25,FRANCHISEE OUTSIDE CEBU
BOXES,Mini Take Out Box,60.00,Packs of 25,FRANCHISEE OUTSIDE CEBU
BOXES,Overload Cup,200.00,Pack of 50,FRANCHISEE OUTSIDE CEBU
